                      migration_name                       |          started_at           |          finished_at          | applied_steps_count |        rolled_back_at         
-----------------------------------------------------------+-------------------------------+-------------------------------+---------------------+-------------------------------
 20250909022244_add_chat_system                            | 2025-10-02 15:04:45.349755+08 | 2025-10-02 15:04:45.349755+08 |                   0 | 
 20251002000001_add_missing_chat_telegram_columns          | 2025-10-02 15:07:02.240095+08 | 2025-10-02 15:07:02.240095+08 |                   0 | 
 20250808080657_init                                       | 2025-10-17 23:17:15.786539+08 |                               |                   0 | 2025-10-17 23:17:26.107974+08
 20250808080657_init                                       | 2025-10-17 23:17:26.10993+08  | 2025-10-17 23:17:26.10993+08  |                   0 | 
 20250808123958_add_member_early_access_fields             | 2025-10-17 23:18:25.644591+08 |                               |                   0 | 2025-10-17 23:18:43.064918+08
 20250808123958_add_member_early_access_fields             | 2025-10-17 23:18:43.11292+08  | 2025-10-17 23:18:43.11292+08  |                   0 | 
 20250808131238_add_referral_system                        | 2025-10-17 23:18:46.917522+08 | 2025-10-17 23:18:46.917522+08 |                   0 | 
 20250811024314_add_site_branding                          | 2025-10-17 23:18:50.458457+08 | 2025-10-17 23:18:50.458457+08 |                   0 | 
 20250819035046_add_zone_based_shipping_system             | 2025-10-17 23:18:53.955483+08 | 2025-10-17 23:18:53.955483+08 |                   0 | 
 20250819035303_add_fulfillment_system_tables              | 2025-10-17 23:18:57.471788+08 | 2025-10-17 23:18:57.471788+08 |                   0 | 
 20250825180727_add_hero_section_toggles                   | 2025-10-17 23:19:01.029397+08 | 2025-10-17 23:19:01.029397+08 |                   0 | 
 20250829003558_init                                       | 2025-10-17 23:19:04.528839+08 | 2025-10-17 23:19:04.528839+08 |                   0 | 
 20250829065349_add_malaysian_postcode_system              | 2025-10-17 23:19:08.009455+08 | 2025-10-17 23:19:08.009455+08 |                   0 | 
 20250831145727_add_toyyibpay_fields_to_order              | 2025-10-17 23:19:11.460542+08 | 2025-10-17 23:19:11.460542+08 |                   0 | 
 20250904213423_add_multi_tenant_telegram_config           | 2025-10-17 23:19:15.044879+08 | 2025-10-17 23:19:15.044879+08 |                   0 | 
 20250905064327_add_admin_telegram_config                  | 2025-10-17 23:19:18.627556+08 | 2025-10-17 23:19:18.627556+08 |                   0 | 
 20250905232831_remove_admin_telegram_foreign_keys         | 2025-10-17 23:19:22.13327+08  | 2025-10-17 23:19:22.13327+08  |                   0 | 
 20250906012110_add_business_profile_and_tax_configuration | 2025-10-17 23:19:25.592003+08 | 2025-10-17 23:19:25.592003+08 |                   0 | 
 20251005101110_remove_cost_price                          | 2025-10-17 23:19:29.019479+08 | 2025-10-17 23:19:29.019479+08 |                   0 | 
 20251017231759_remove_unused_order_fields                 | 2025-10-17 23:19:39.454006+08 |                               |                   0 | 2025-10-17 23:20:08.627326+08
 20251017231759_remove_unused_order_fields                 | 2025-10-17 23:20:19.047386+08 | 2025-10-17 23:20:19.056321+08 |                   1 | 
(21 rows)

