                      migration_name                       |          started_at           |          finished_at          | applied_steps_count |        rolled_back_at         
-----------------------------------------------------------+-------------------------------+-------------------------------+---------------------+-------------------------------
 20250808080657_init                                       | 2025-10-02 06:34:29.136559+00 | 2025-10-02 06:34:29.195727+00 |                   1 | 
 20250808123958_add_member_early_access_fields             | 2025-10-02 06:34:29.198766+00 | 2025-10-02 06:34:29.208047+00 |                   1 | 
 20250808131238_add_referral_system                        | 2025-10-02 06:34:29.210654+00 | 2025-10-02 06:34:29.228786+00 |                   1 | 
 20250811024314_add_site_branding                          | 2025-10-02 06:34:29.231898+00 | 2025-10-02 06:34:29.251525+00 |                   1 | 
 20250819035046_add_zone_based_shipping_system             | 2025-10-02 06:34:29.254383+00 | 2025-10-02 06:34:29.285+00    |                   1 | 
 20250819035303_add_fulfillment_system_tables              | 2025-10-02 06:34:29.288622+00 | 2025-10-02 06:34:29.307826+00 |                   1 | 
 20250825180727_add_hero_section_toggles                   | 2025-10-02 06:34:29.311666+00 | 2025-10-02 06:34:29.346642+00 |                   1 | 
 20250829003558_init                                       | 2025-10-02 06:34:29.349338+00 | 2025-10-02 06:34:29.358208+00 |                   1 | 
 20250829065349_add_malaysian_postcode_system              | 2025-10-02 06:34:29.360497+00 | 2025-10-02 06:34:29.370438+00 |                   1 | 
 20250831145727_add_toyyibpay_fields_to_order              | 2025-10-02 06:34:29.372702+00 | 2025-10-02 06:34:29.380877+00 |                   1 | 
 20250904213423_add_multi_tenant_telegram_config           | 2025-10-02 06:34:29.384425+00 | 2025-10-02 06:34:29.416356+00 |                   1 | 
 20250905064327_add_admin_telegram_config                  | 2025-10-02 06:34:29.419525+00 | 2025-10-02 06:34:29.432322+00 |                   1 | 
 20250905232831_remove_admin_telegram_foreign_keys         | 2025-10-02 06:34:29.43558+00  | 2025-10-02 06:34:29.444707+00 |                   1 | 
 20250906012110_add_business_profile_and_tax_configuration | 2025-10-02 06:34:29.447414+00 | 2025-10-02 06:34:29.463169+00 |                   1 | 
 20250909022244_add_chat_system                            | 2025-10-02 06:34:29.465546+00 | 2025-10-02 06:34:29.484905+00 |                   1 | 
 20251002000001_add_missing_chat_telegram_columns          | 2025-10-02 07:13:52.471527+00 | 2025-10-02 07:13:52.497289+00 |                   1 | 
 20251005101110_remove_cost_price                          | 2025-10-05 02:24:55.929487+00 | 2025-10-05 02:24:55.940139+00 |                   1 | 
 20251017231759_remove_unused_order_fields                 | 2025-10-17 16:07:41.81417+00  | 2025-10-17 16:07:41.825239+00 |                   1 | 
 20251022154500_add_password_reset_fields                  | 2025-10-22 15:46:31.193329+00 | 2025-10-22 15:46:31.193329+00 |                   3 | 
 20251027140600_add_nric_to_user                           | 2025-10-27 14:18:53.48566+00  | 2025-10-27 14:18:53.539622+00 |                   1 | 
 20251029162325_remove_wishlist_and_referral_models        | 2025-10-29 08:29:41.646212+00 | 2025-10-29 08:29:41.671287+00 |                   1 | 
 20251111000001_add_meta_keywords_to_product               | 2025-11-11 00:09:34.41453+00  |                               |                   0 | 2025-11-11 02:01:04.271325+00
 20251111000001_add_meta_keywords_to_product               | 2025-11-11 02:01:04.387069+00 | 2025-11-11 02:01:04.387069+00 |                   0 | 
 20251112190309_create_faq_tables                          | 2025-11-12 11:03:41.80306+00  |                               |                   0 | 2025-11-12 11:04:38.926988+00
 20251112190309_create_faq_tables                          | 2025-11-12 11:05:48.327071+00 | 2025-11-12 11:05:48.591833+00 |                   1 | 
 simplify_faq_category_name                                | 2025-11-12 11:05:48.691642+00 | 2025-11-12 11:05:48.957929+00 |                   1 | 
(26 rows)

