sku,name,description,shortDescription,categoryName,regularPrice,memberPrice,stockQuantity,lowStockAlert,weight,dimensions,featured,isPromotional,isQualifyingForMembership,promotionalPrice,promotionStartDate,promotionEndDate,memberOnlyUntil,earlyAccessStart,metaTitle,metaDescription
JRM-0001,Mega Ratu - Minuman Campuran Buah JRM Holistik,Minuman botanical berperisa berries,,JRM HOLISTIK,120,110,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0002,Kurma Dhuha,,,JRM HOLISTIK,100,,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0003,Royal V - Minuman Campuran Buah JRM Holistik,Minuman botanical campuran buah-buahan.Simpan di dalam suhu bilik atau chiller untuk menjaga kualiti produk,,JRM HOLISTIK,89,84.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0004,Mushtanir - Minuman Campuran Buah JRM Holistik,Sesuai diambil lelaki dan perempuan. Bermula dari usia 5 tahun ke atas,,JRM HOLISTIK,120,108,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0005,Kopi Ratu - Kopi Pra Campuran JRM Holistik,Mengandungi kafein yang rendah (4mg).Simpan di dalam suhu bilik untuk mengekalkan kualiti produk. Boleh dibancuh dengan air panas atau air sejuk mengikut kesesuaian tekak masing-masing,,JRM HOLISTIK,48,44.4,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0006,Nutri Hi-B (1 kotak Nutri Hi B) - Minuman Campuran Buah JRM Holistik,"Campuran buah delima, beri goji, ekstrak bunga raya, kurma merah dan roselle",,JRM HOLISTIK,150,142.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0007,Nutri Hi-B (1 botol) - Minuman Campuran Buah JRM Holistik,"Campuran minuman buah delima, beri goji, ekstrak bunga raya, kurma merah dan roselle",,JRM HOLISTIK,11,10.4,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0008,Charmello Dark Chocolate - Minuman Coklat JRM Holistik,Minuman berperisa dark chocolate. Produk baru menggantikan Chocolate fiber,,JRM HOLISTIK,80,74.4,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0009,Flexi Drink (1 box Flexi Drink) - Minuman Campuran Buah JRM Holistik,"Minuman berperisa markisa untuk memberikan tenaga dalam menjalankan aktiviti seharian. Flexy Drink ialah suplemen kecantikan kolagen dari Jamu Ratu Malaya (JRM) yang dirumus khas untuk melembapkan kulit, menguatkan sendi dan mencantikkan rambut serta kuku secara menyeluruh.

Kelebihan Utama

Menganjalkan dan mencerahkan kulit, mengurangkan kulit bersisik

Mengurangkan garis halus dan kedutan pra-matang

Merangsang keratin untuk pertumbuhan rambut dan kuku yang sihat

Mengurangkan keguguran rambut

Menguatkan sendi dan otot, serta kurangkan risiko osteoartritis

Melancarkan sistem pencernaan dan penyerapan nutrisi

Mempercepatkan pembaikan sel dan penyembuhan luka",,JRM HOLISTIK,130,123.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0010,Flexi Drink (1 botol) - Minuman Campuran Buah JRM Holistik,"Minuman campuran buah markisa, pic dan tomato putih",,JRM HOLISTIK,9.5,9,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
